Column1,Unnamed: 0,cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
1356,2084,residential-rent,apartment-rent,tehran,tayeb,5/1/2024 0:00,,"2طرف نورگیر پ موتور MDF سنگ پکیج آب برق گاز جدا و...
مناسب زوج پلاک ۴۷ واحد ۷",۵۰ متر میدان خراسان پشت پمپ بنزین کوچه حیدری زاد,مقطوع,100000,,,,,مقطوع,450000000,FALSE,TRUE,450000000,200000000,100000,7500000,,50,,,4,یک,4,2,FALSE,TRUE,FALSE,FALSE,۱۳۹۷,FALSE,,package,,,shoofaj,water_cooler,squat_seat,,,east,,,,stone,,,,,,,,35.66408539,51.44766998,
1360,2088,residential-sell,apartment-sell,tehran,hasan-abad-shomali,8/1/2024 0:00,,"درود بر شما... لطفا تا انتها مطالعه بفرمایید...سپاس *

خریداران و سرمایه گذاران محترم، به هیچ عنوان بازدید از این مجموعه زیبا و پرطرفدار را از دست ندهید...

این عمارت فاخر و ماندگار در بهترین لوکیشن منطقه ساخته شده و جزو بهترین سازه ای پایتخت می باشد 

مورد تایید مهندسین و برج سازان مطرح کشور و تمامی ساکنین خرسند از انتخابشان هستند ...


سازنده این برج زیبا، پروژه لوکس دیگری در منطقه ۵ در حال ساخت دارد و به همین خاطر یکی از واحدهای این قصر مدرن را متری ۳۰ میلیون زیر قیمت منطقه و دیگر واحد های برج برای فروش ارائه داده است...


به شما اطمینان میدهیم که مشابه این واحد را در هیچ کجای منطقه پیدا نخواهید کرد...

                 ♻️ سند تکبرگ آماده انتقال ♻️
    ✅ خرید مطمئن و مستقیم از شخص سازنده ✅

******** 4 4 1 7 4 8 7 4",140متر*برج مطرح و فول مشاعات*مستقیم ازسازنده/اباذر,,,,,مقطوع,17589000000,,,,,,,,,,143,single_page,,1,سه,7,7,TRUE,TRUE,TRUE,TRUE,۱۴۰۰,FALSE,,package,,,duct_split,duct_split,squat_seat,,,,,,,laminate_parquet,,,,,,,,35.73532486,51.32499313,
1363,2091,residential-sell,apartment-sell,tehran,taxirani,5/1/2024 0:00,,"مجتمع تاکسیرانی گلستان سازه مستحکم 
برای فروش 
باز سازی نشده از اصل مبلغ هزینه بازسازی کسر میشود",اپارتمان ۸۷ متر دو خواب,,,,,مقطوع,5000000000,,,,,,,,,,87,,,2,دو,,,,FALSE,TRUE,TRUE,۱۳۷۲,FALSE,,,,,,,,,,,,,,,,,,,,,,35.67181015,51.48548126,
1364,2092,residential-sell,apartment-sell,tehran,zamzam,5/1/2024 0:00,مشاور املاک,"به نام خداوند روزی دهنده 

۶۸ متر تک خواب 
۵طبقه ۴واحدی (((((((تک بلوک))))))
طبقه ۲
سال ساخت ۱۳۹۵

امکانات 
پارکینگ سندی غیر مزاحم جداگانه 
آسانسور 
انباری 
بالکن 
نما سنگ 
گذر عالی 
بهترین کوچه زمزم

وام ۹۶۰ به عهده ما 

لوکیشن زمزم

مشاور آذرتاش",۶۸ متر/فول امکانات/تاپ لوکیشن/وام دار,,,,,مقطوع,2920000000,,,,,,,,,,68,single_page,,2,یک,5,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۵,TRUE,,water_heater,,,heater,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.64881134,51.36941147,500
1372,2102,residential-sell,apartment-sell,tehran,velenjak,7/1/2024 0:00,مشاور املاک,"⚜️ولنجک ۲۴۰متر ⚜️
⚜️۳پارکینگ سندی⚜️
⚜️چشم اندازی ابدی از تهران⚜️
⚜️مشاعات هتلینگ⚜️
⚜️آشپزخانه فرنیش بوش⚜️
⚜️سازه‌ای منحصربه‌فرد از سازنده‌ای مطرح⚜️
⚜️فستیوالی از نور⚜️
⚜️وشنیدنی‌هایی دیگر…..⚜️ 
⚜️مالک فروشنده‌ی واقعی⚜️
⚜️زندگی کردن در هتلی ۵ستاره را تجربه کنید⚜️
⚜️عربی هستم تنها مشاور تحصیل کرده در زمینه‌ی املاک در سطح بین‌المللی⚜️
⚜️خاص‌ترین خرید خود را با من تجربه کنید⚜️",ولنجک/۲۴۰متر/۳پارکینگ/ویو ابدی/هتلینگ,,,,,مقطوع,69000000000,,,,,,,,,,240,,,1,سه,,,,TRUE,TRUE,TRUE,۱۴۰۰,,,,,,,,,,,,,,,,,,,,,,,35.7918129,51.40189743,500
1377,2109,residential-sell,apartment-sell,tehran,qeytariyeh,10/1/2024 0:00,,"۱۰۱ متر دو خواب
ساختمان دو نبش
خوش نقشه
بشدت نور گیر
واحد جنوبی سرشار از نور
لابی و روف گاردن
ساختمان بی سر و صدا آرام

مهندس وصال
مشاور تخصصی منطقه یک",آپارتمان ۱۰۱ متری دو خوابه قیطریه,,,,,مقطوع,28500000000,,,,,,,,,,101,single_page,,1,دو,5,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۸,FALSE,,powerhouse,,,duct_split,duct_split,squat_seat,,,south,,,,wood_parquet,,,,,,,,35.79033661,51.44131851,500
1380,2115,residential-sell,apartment-sell,tehran,poonak,12/1/2024 0:00,,"۹۷متر دو خوابه
رو به باغ
سالن پرده خور 
دو نبش
لابی دار 
سریدار مقیم 
مشاور شما سامان",۹۷متر پونک,,,,,مقطوع,12300000000,,,,,,,,,,97,single_page,,1,دو,6,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۷,FALSE,,package,,,heater,water_cooler,squat_seat,,,north,,,,stone,,,,,,,,35.76930237,51.33950043,
1382,2117,residential-rent,apartment-rent,tehran,tohid,12/1/2024 0:00,,"⚡توحید ⚡ ستارخان⚡

✅ موقعیت اداری
✅ 75 متر  تمیز و خوش نقشه 
✅ نور مستقیم
✅ فول امکانات
☑️ قابلیت پارتیشن گذاری 
☑️ کل ساختمان اداری 
☑️  قابلیت پارک 2 خودرو بدون مزاحم
✅مناسب شرکت ، دفتر کار ، دفتر فروش ، مهندسی ، حقوقی ، مطب ، هوم آفیس ، مشاوره و ...
✅ دسترسی عالی به مترو و بی آر تی کمتر از 2 دقیقه، چمران ، مرکز شهر و...
✅ بدون نیاز به هزینه
☑️ تخلیه 
 ☑️کلید نزد املاک",75 متر موقعیت اداری/ فول امکانات/ ستارخان,مقطوع,24000000,,,,,مقطوع,200000000,FALSE,TRUE,200000000,1000000000,24000000,0,,75,,,4,یک,4,2,,TRUE,FALSE,TRUE,۱۳۹۳,FALSE,,package,,,shoofaj,,squat_seat,,,,,,,stone,,,,,,,,35.70742035,51.37331009,500
1384,2120,commercial-rent,industry-agriculture-business-rent,tehran,niloufar,9/1/2024 0:00,,"سهروردی شمالی مغازه۳۸ متری
بر ۴/۵
مناسب صنوف مختلف
لوکیشن عالی
مشاورشما :امیری",مغازه ۳۸متری سهروردی شمالی,مقطوع,190000000,,,,,مقطوع,1000000000,FALSE,FALSE,1000000000,,190000000,,,38,,,,بدون اتاق,,,,,,,۱۳۸۰,,,,,,,,,,,,,,,,,,,,,,,35.73831177,51.43465424,
1385,2121,residential-rent,apartment-rent,tehran,north-janat-abad,11/1/2024 0:00,,"⭐️ املاک بزرگ راشا ⭐️

✅️۹۳متر / ۲خواب
✅️سالن پرده خور / فول امکانات
✅️دو واحدی / نما تراورتن
✅️ دارای ۲۰متر پاسیو کاربردی

‼️دارای دو پارکینگ سندی‼️

⚪️ساختمان دارای دوربین مدار بسته
⚪️دسترسی اسان به امکانات رفاهی و تجاری
⚪️محله دنج و خلوت
⚪️ساختمان ساکت با همسایگان محترم و ارام

           ⭐️ مشاور شما : رحمانی ⭐️",۹۳متر/۲خواب/دو پارکینگ/سالن پرده خور/جنت ابادشمالی,مقطوع,8000000,,,,,مقطوع,1000000000,FALSE,TRUE,1000000000,1300000000,8000000,0,,93,,,1,دو,,,TRUE,TRUE,TRUE,TRUE,۱۳۹۷,FALSE,,,,,,,,,,,,,,,,,,,,,,35.77256775,51.31285858,500
